"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796X20","Bill","8-Week","05/19/2022","05/24/2022","07/19/2022","99.860000"
"912810TH1","Bond","20-Year","05/18/2022","05/31/2022","05/15/2042","99.416025"
"912796XW4","Bill","119-Day","05/18/2022","05/24/2022","09/20/2022","99.586806"
"912796W47","Bill","52-Week","05/18/2022","05/19/2022","05/18/2023","97.876667"
"912796T41","Bill","13-Week","05/16/2022","05/19/2022","08/18/2022","99.734583"
"912796W62","Bill","26-Week","05/16/2022","05/19/2022","11/17/2022","99.246722"
"912796V97","Bill","4-Week","05/12/2022","05/17/2022","06/14/2022","99.953333"
"912796W96","Bill","8-Week","05/12/2022","05/17/2022","07/12/2022","99.882556"
"912810TG3","Bond","30-Year","05/12/2022","05/16/2022","05/15/2052","97.596896"
"912796XV6","Bill","119-Day","05/11/2022","05/17/2022","09/13/2022","99.616556"
"91282CEP2","Note","10-Year","05/11/2022","05/16/2022","05/15/2032","99.414646"
"91282CEQ0","Note","3-Year","05/10/2022","05/16/2022","05/15/2025","99.831427"
"912796L64","Bill","13-Week","05/09/2022","05/12/2022","08/11/2022","99.772500"
"912796W54","Bill","26-Week","05/09/2022","05/12/2022","11/10/2022","99.299806"
"912796V89","Bill","4-Week","05/05/2022","05/10/2022","06/07/2022","99.961889"
